id,price,neighbourhood_cleansed,room_type,bedrooms,bathrooms,accommodates,amenities,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,longitude,latitude,name,description,sentiment_score
1108565460674772011,780.0,Skarpnäcks,Entire home/apt,1.0,1.0,2,"[""Washer"", ""TV"", ""Dedicated workspace"", ""Kitchen"", ""Paid parking lot on premises \u2013 1 space"", ""Wifi""]",1,182,7,5.0,18.12185,59.2679467,En fin lägenhet 20 min till stan,"My place is 20 minutes by subway from Stockholm city.<br />Completely renovated and fresh, this small 2-bedroom apartment is very modern and functional.<br />10 minutes walk to Skarpnäcks metro station, the direct access to football fields and green areas.<br />The accommodation is suitable for your business stays, your family and romantic vacations.<br />My apartment consists of an open equipped kitchen, a bedroom, a living room and a place for the office and a bathroom.<br />You will have access to entire the entire place",1.0
46701767,1750.0,Kungsholmens,Entire home/apt,1.0,1.0,2,"[""Washer"", ""Hair dryer"", ""Hangers"", ""Essentials"", ""TV"", ""Dedicated workspace"", ""Lockbox"", ""Kitchen"", ""Heating"", ""Private entrance"", ""Microwave"", ""Wifi"", ""Shampoo"", ""Air conditioning"", ""Self check-in"", ""Smoke alarm"", ""Dryer""]",6,90,26,5.0,18.00548,59.32541,Entire apartment in the heart of Lilla Essingen,"Our apt is newly renovated! Enjoy a queen size bed accompanied by new furniture, 65 inch TV, washing machine, and fully equipped kitchen.",1.0
44202756,2316.0,Hägersten-Liljeholmens,Entire home/apt,3.0,1.5,6,"[""Washer"", ""Hair dryer"", ""Hangers"", ""First aid kit"", ""Smeg stainless steel induction stove"", ""High chair"", ""Smeg single oven"", ""Wine glasses"", ""Coffee maker: drip coffee maker, Nespresso"", ""Barbecue utensils"", ""Private patio or balcony"", ""Bathtub"", ""Rice maker"", ""Wifi"", ""Fireplace guards"", ""Indoor fireplace: wood-burning"", ""Radiant heating"", ""Sun loungers"", ""Private BBQ grill: gas"", ""Iron"", ""Essentials"", ""Dining table"", ""Outlet covers"", ""Kitchen"", ""Freezer"", ""Coffee"", ""Board games"", ""Children's playroom"", ""Conditioner"", ""Body soap"", ""Free parking on premises"", ""Smoke alarm"", ""Outdoor furniture"", ""Fire extinguisher"", ""Dryer"", ""Garden view"", ""Cleaning products"", ""Dishes and silverware"", ""Hot water kettle"", ""EV charger"", ""Ethernet connection"", ""Record player"", ""Piano"", ""Outdoor playground"", ""Hot water"", ""Room-darkening shades"", ""Shampoo"", ""Clothing storage"", ""Cooking basics"", ""Bed linens"", ""Baking sheet"", ""Extra pillows and blankets"", ""Toaster"", ""Blender"", ""Rega Bluetooth sound system"", ""Drying rack for clothing"", ""Books and reading material"", ""Dedicated workspace"", ""Whirlpool refrigerator"", ""Outdoor dining area"", ""Children\u2019s dinnerware"", ""Microwave"", ""Dishwasher"", ""43 inch HDTV with DVD player, Apple TV, standard cable, Disney+, Netflix, HBO Max"", ""Self check-in"", ""Lockbox"", ""Children\u2019s books and toys for ages 2-5 years old, 5-10 years old, and 10+ years old""]",3,31,2,5.0,17.95655,59.29213,Villa nära Stockholm city och Mälaren sjö,"Welcome to our house located in Mälarhöjden in Stockholm. A quiet and safe residential area.<br /><br />Here you live comfortably with proximity to both Stockholm city (subway 13 minutes) with restaurants, sights and shops. Walking distance to Lake Mälaren with swimming areas and jogging tracks. <br /><br />We have a garden with several apple trees, a trampoline, swings, basketball hoop, a greenhouse, and a south-facing deck to eat and relax.",1.0
724589033700334180,1529.0,Kungsholmens,Entire home/apt,1.0,1.0,2,"[""Shared backyard"", ""Hair dryer"", ""Hangers"", ""Lake access"", ""Wifi"", ""Iron"", ""Essentials"", ""Dining table"", ""Elevator"", ""Free dryer \u2013 In building"", ""Smoke alarm"", ""Outdoor furniture"", ""Fire extinguisher"", ""Cleaning products"", ""Sonos Bluetooth sound system"", ""Dishes and silverware"", ""Hot water kettle"", ""Shared beach access"", ""Hot water"", ""Room-darkening shades"", ""BBQ grill"", ""Cooking basics"", ""Bed linens"", ""Stove"", ""Extra pillows and blankets"", ""Oven"", ""Standalone high chair - always at the listing"", ""Toaster"", ""Shared sauna"", ""Outdoor dining area"", ""Central heating"", ""Dishwasher"", ""Shared gym nearby"", ""Laundromat nearby""]",2,6,8,5.0,17.99072,59.32267,Fin lgh nära city och grönområden,"Well planned 2.5-room apartment on Stora Essingen - the land in the middle of town. Newly renovated, bright & fresh in a cozy house.<br />Outside the windows it is quiet in the evenings and green trees. <br />Only 1 min walk down to the waterfront, around the corner there is a grocery store, cafes and restaurants. <br />You live close to the city & can at the same time enjoy the quility of the island surrounded by the waters of Mälaren. <br />Good communications, bus line 1 takes you to the city in 18 min.<br />Welcome!",1.0
909438441510009246,720.0,Östermalms,Entire home/apt,1.0,1.5,2,"[""Hair dryer"", ""Hangers"", ""Wine glasses"", ""Lake access"", ""Wifi"", ""Luggage dropoff allowed"", ""Sound system"", ""Essentials"", ""Dining table"", ""Kitchen"", ""Freezer"", ""Waterfront"", ""TV"", ""Cleaning products"", ""Dishes and silverware"", ""Hot water kettle"", ""Hot water"", ""Room-darkening shades"", ""Clothing storage"", ""Cooking basics"", ""Bed linens"", ""Stove"", ""Extra pillows and blankets"", ""Baking sheet"", ""Oven"", ""Books and reading material"", ""Dedicated workspace"", ""Central heating"", ""Refrigerator"", ""Microwave"", ""Beach access \u2013 Beachfront"", ""Dishwasher""]",60,150,3,5.0,18.05350412520201,59.37135077530627,Charming apartment in Norra Djurgården available,"This apartment in beautiful Ekhagen, near Stockholm University and Museum of Natural History, is ideal for Stockholm exploration. Just 10 mins from Universitet to Östermalmstorg (city center) by subway. Includes living room, kitchen, small bedroom with 110 cm bed, Wi-Fi, shower, and towels. Cozy and equipped for two guests. Available September-December 2024, with flexible move-in subject to housing board approval.",1.0
44642899,1723.0,Farsta,Entire home/apt,4.0,1.5,7,"[""Washer"", ""Hair dryer"", ""Hangers"", ""Children\u2019s books and toys for ages 0-2 years old, 2-5 years old, and 5-10 years old"", ""First aid kit"", ""High chair"", ""Wine glasses"", ""Indoor fireplace"", ""Barbecue utensils"", ""Bathtub"", ""Wifi"", ""Changing table"", ""Children\u2019s bikes"", ""Air conditioning"", ""Pets allowed"", ""Sun loungers"", ""Iron"", ""Essentials"", ""Dining table"", ""Kitchen"", ""Freezer"", ""Coffee"", ""Keypad"", ""Children's playroom"", ""Conditioner"", ""Body soap"", ""Free parking on premises"", ""Smoke alarm"", ""Outdoor furniture"", ""Fire extinguisher"", ""Dryer"", ""TV"", ""Cleaning products"", ""Dishes and silverware"", ""EV charger"", ""Heating"", ""Hot water"", ""Room-darkening shades"", ""BBQ grill"", ""Shampoo"", ""Clothing storage"", ""Carbon monoxide alarm"", ""Baby safety gates"", ""Bed linens"", ""Cooking basics"", ""Stove"", ""Baking sheet"", ""Patio or balcony"", ""Oven"", ""Toaster"", ""Blender"", ""Bikes"", ""Outdoor dining area"", ""Portable fans"", ""Refrigerator"", ""Private entrance"", ""Microwave"", ""Bread maker"", ""Free street parking"", ""Dishwasher"", ""Hammock"", ""Self check-in"", ""Shower gel"", ""Backyard"", ""Coffee maker""]",4,730,0,,18.09619,59.26366,"Hus med stor veranda, kvällssol, mysig trädgård,","Cozy house with cool basement. Large porch with room for many with wonderful evening sun. Cozy garden, perfect for cube games or boule. There is a patio with chairs for 8. Lounge furniture. Hot tub on the grounds. About 7 minutes walk to the center of the gang and the subway. 12 minutes into town by subway. 4 bedrooms, laundry room, kitchen with open plan to living room with fireplace and large TV. 2 toilets, one on the upper floor and large bathroom lower. Jacuzzi outside in the garden, trampoline. Warm welcome",
1014400518160996421,1629.0,Norrmalms,Entire home/apt,1.0,1.0,3,"[""Wine glasses"", ""Wifi"", ""Sound system"", ""Essentials"", ""Kitchen"", ""Freezer"", ""Smoke alarm"", ""TV"", ""Dishes and silverware"", ""Hot water kettle"", ""Heating"", ""Hot water"", ""Room-darkening shades"", ""Bed linens"", ""Stove"", ""Oven"", ""Refrigerator"", ""Microwave"", ""Dishwasher""]",5,365,5,4.8,18.047842475205865,59.34720654041203,"Lägenhet i Vasastan, Stockholm","Live the simple life of this cosy apartment in Vasastan in central Stockholm. The apartment is prone to a quiet street exactly at Vanadislunden and you live a stone's throw from restaurants, bars and public transport. Only a few minutes away you have Hagaparken which is a beautiful stretch to walk along the water in Brunnsviken.",1.0
1131833768577529365,1250.0,Skarpnäcks,Entire home/apt,3.0,1.0,5,"[""Shared backyard"", ""Hair dryer"", ""Hangers"", ""Wine glasses"", ""Standalone high chair"", ""Private patio or balcony"", ""Long term stays allowed"", ""Host greets you"", ""Barbecue utensils"", ""Bathtub"", ""Coffee maker: french press"", ""Wifi"", ""Crib - available upon request"", ""Electrolux refrigerator"", ""Window guards"", ""Radiant heating"", ""Iron"", ""Essentials"", ""Dining table"", ""Kitchen"", ""Freezer"", ""Coffee"", ""Smoke alarm"", ""Central air conditioning"", ""TV"", ""Dishes and silverware"", ""Outdoor playground"", ""Hot water"", ""Room-darkening shades"", ""BBQ grill"", ""Free washer \u2013 In unit"", ""Cooking basics"", ""Bed linens"", ""Stove"", ""Extra pillows and blankets"", ""Toaster"", ""Blender"", ""Bikes"", ""Drying rack for clothing"", ""Outdoor dining area"", ""Dedicated workspace"", ""Stainless steel double oven"", ""Bidet"", ""Paid street parking off premises"", ""Dishwasher"", ""Clothing storage: closet, wardrobe, and dresser"", ""Free dryer \u2013 In unit""]",6,40,0,,18.135115739890598,59.27210226969598,Nyrenoverad pärla nära stad och natur,"Relax with the whole family in this peaceful home in the vicinity of Stockholm's inner city. The apartment is newly renovated and everything is in very good condition. Perfect for families and couples. <br /><br />7 minutes walk to the subway that takes you in 10 minutes into the city. <br /><br />Nearby are nature reserves and swimming lakes, the Nacka reserve and, among other things, Flatenbadet.",
26526444,2800.0,Södermalms,Entire home/apt,2.0,1.0,4,"[""Washer"", ""Hair dryer"", ""Hangers"", ""Wine glasses"", ""Host greets you"", ""Wifi"", ""Iron"", ""Essentials"", ""Dining table"", ""Kitchen"", ""Elevator"", ""Freezer"", ""Children's playroom"", ""Smoke alarm"", ""TV"", ""Cleaning products"", ""Dishes and silverware"", ""Heating"", ""Hot water"", ""Room-darkening shades"", ""Shampoo"", ""Cooking basics"", ""Bed linens"", ""Stove"", ""Children\u2019s books and toys"", ""Extra pillows and blankets"", ""Patio or balcony"", ""Oven"", ""Drying rack for clothing"", ""Dedicated workspace"", ""Refrigerator"", ""Dishwasher"", ""Backyard"", ""Coffee maker""]",3,730,24,4.71,18.06468,59.31633,Fin 3:a i perfekt läge på Södermalm,"Warm welcome to our charming third at Mariatorget, Södermalm, Stockholm! Discover the best of the city from our 4th floor apartment. Stay right in the heart of Södermalm with easy access to restaurants, cafes and shopping. Spacious atmosphere for up to four guests with a well-equipped kitchen, comfortable living room and two bedrooms with comfortable beds. Bathroom with heating floor and washing machine. Free Wi-Fi and TV (AppleTV).",1.0
27051847,1600.0,Enskede-Årsta-Vantörs,Entire home/apt,1.0,1.5,3,"[""Wine glasses"", ""Hangers"", ""Smart lock"", ""Pets allowed"", ""Essentials"", ""Coffee maker: drip coffee maker"", ""Dining table"", ""Kitchen"", ""Freezer"", ""Coffee"", ""Body soap"", ""Smoke alarm"", ""Outdoor furniture"", ""Fire extinguisher"", ""Cleaning products"", ""Dishes and silverware"", ""Shared backyard \u2013 Not fully fenced"", ""Heating"", ""Hot water"", ""Room-darkening shades"", ""Gas stove"", ""Cooking basics"", ""Bed linens"", ""Baking sheet"", ""Extra pillows and blankets"", ""Oven"", ""Toaster"", ""Blender"", ""Bikes"", ""Books and reading material"", ""HDTV with Chromecast"", ""Outdoor dining area"", ""Bang & Olufsen Bluetooth sound system"", ""Fast wifi \u2013 239 Mbps"", ""Refrigerator"", ""Microwave"", ""Paid street parking off premises"", ""Shared BBQ grill: gas"", ""Self check-in"", ""Shared patio or balcony""]",2,6,14,4.86,18.08878105133772,59.28548758028688,Fin lägenhet nära Avicii & Tele2 arena,"Bright and spacious, tastefully renovated two-bedroom located in Gamla Eneden - a residential area just south of the city. A family friendly area that offers several restaurants, cafes,  but also proximity to the forest, tele2 and avicii arena. <br /><br />5 minutes walk to the subway and 12 minutes to the city. <br /><br /><br /><br />Guests have access to the entire property. You are most welcome to use all the equipment in the kitchen. Bedlinen and towels are available. <br /><br />Let me know in advance if you'd like access to the house's laundry room.",1.0
