comments,sentiment
Please know wifi is not available in the apartment. Shower head is not fixed on wall and not the very convenient kind especially for women with long hair to wash. Big and comfortable bed.,NEGATIVE
"Very small apartment, good position. We met at the arrival the neighbor of Daniel (Rolf) That was kind. But home was very chaotic with a lot of useless things, wardrobe was full pf clothes and we couldn't hang our clothes. Next time i will not come back there.",NEGATIVE
Just over the top Merci daniel,NEGATIVE
"I gave 3 stars only because of location and the fact that the owner was responsive about some of the many issues we had. Overall, we think they are very inexperienced about renting.We were disappointed, we have rented many times in Europe and really this time we encountered some problems. No privacy drapes on living room and 1 bedroom window (we had to hang some dark cheap fabric drapes bought by the previous renter). Kitchen was not clean (oven in real bad shape) old refrigerator toaster ultra small old microwave all in bad conditions, furniture including sofas and rugs are very warn sitting in front of a window without curtains, facing neighbors, iron not functioning. The owner replaced old pots that we had scratched clean but this was not enough to make us feel comfortable. Some art is extreme and too explicit, dark religious, and of sexual unnecessary display.We are liberal adults who love art but that was really too much.",NEGATIVE
"I appreciate Madeleine was trying to be nice and welcoming but unfortunately the service hosts provide to their guests is not just about being nice. As a guest I have expectations about cleanliness and description of the place I am renting and none of those expectations were met. The description of this listing is not accurate, it’s simply wrong. This listing is not a small house, it’s similar to a cottage next to a house that guests are only allowed to use when taking shower and wash clothes. It is very small with old furniture, the pictures of the inside of the cottage are not representative of its actual condition. Before my arrival and after my reservation: Madeleine initially asked me to postpone my check in for a week as she has other guests in the main house and I won’t be able to use the shower and washing machine in the first week. This is an unusually absurd request given that when I was making the reservation the calendar showed the listing was available on top of the fact that I was paying to stay in her place and wasn’t crashing there for free. After that she changed her mind multiple times whether I could use the shower (which is in the main house). At this point I wished that Madeleine would cancel my booking but she didn’t. I had to make a support request due to a big confusion about what I will and will not have access to. At the end I was told that I could use the shower. When I arrived to the areas and looking for the place I had to wait in the street for half an hour before Madeleine answered my phone call and I got the house number. The address in the listing is not accurate either. At my arrival the place was not clean, it was extremely dirty, it was not prepared for welcoming a guest. It seemed to me that someone was sleeping on the bed right up to the point that I checked in. The handler who handed over the keys to me told me not to use the toilet inside the cottage which contradicts what is written in description and what Madeleine replied after I cancelled the reservation. The tap water in the kitchen is not working, I would call that a non-functioning kitchen. I was hoping for a long peaceful stay but now I have to hop on several listings as I am not able to find a long term stay anymore. For future guest if you are looking for an actual small house, it’s not a place for you. I do not recommend this listing for long stays or any stays in the conditions that I observed.",NEGATIVE
"There are major things we did not like: 1. When we got the place Malin was not available so her daughter opened for us and we were told not to use one of the bedrooms. That felt very awkward and we felt non welcomed. After discussion with the daughter, she accepted that the agreement with her mom is to use all the rooms. 2. The place was not clean at all. We took photos and sent to the owner to document the situation. There was no empty space in the fridge for our food. And we did not know where to put our clothes because all drawer were full and we are a family of four. To be fair however, I rented the place a day before our arrival, so I understand that Malin might not have had time to prepare it for us. Especially when she was actually travelling and not in the house. But I was hoping and expecting that since the place is listed on airbnb, it should have been prepared properly already. What I liked mostly is the location, a quiet and safe place. Also my communication with Malin was very good and she was nice and helpful.",NEGATIVE
"In general the apartment looks like in the pictures, nevertheless there were a lot of unarranged things: the conditions of the apartment are not accurate, there are various details on the walls, the kitchen board and the bathroom (the toilet seat is broken and there was hair on the shower). The place was not cleaned properly, there was dust everywhere and the used candles were not thrown away. Also, there were dirty dishes inside the dishwasher and the cupboards were badly organised and messy. The closets or the storage space in the bathroom are not available. Overall, the price mandated does not correspond with the conditions of the apartment. There was a lack of interest in giving the guests an enjoyable experience, not mentioning the fact that the host asked me if someone could enter the apartment while we were inside (I totally understand is their property, but one is paying for a service and that also includes privacy and safety). The apartment itself has a lot of potential to be a nice and sophisticated space but the furniture and general conditions of the apartment leave a lot to wish for. I would not recommend this space for that amount of money.",NEGATIVE
"We were very dissapointed with the appartment as it was quite filthy: floors, windows sills, tables,blankets. Shocking was the kitchen where we have found dead worms in drawers with cutlers. Wi-fi internet have not worked as a password was not available, but finally after reseting a modem we could at least connect via a cable. Bathroom was very simple too. In total the quality of the apparmtent does not correspond to price we paid.",NEGATIVE
"Clean apartment in a safe area. However, do be advised that when I checked in the host spoke and understood very limited English. When I tried to ask a question during my check-in, her response was that she doesn't speak English. This could be a problem if you have questions or need help in English.",NEGATIVE
"This is a really nice apartment. It was well kept and extremely clean, and in a lovely part of Stockholm. There is a great cafe across the road that does delicious cinnamon buns, and I felt it was a clean and safe. The bedroom is in an alcove off the living room. I made a mistake when booking and didn't see that there was no internet -I really do think this should be in the flat description and not just buried in the list of amenities. Unfortunately the host was not great about responding to my concerns and we didn't get to meet at my scheduled arrival as she had to catch a boat. Overall a positive experience but I was a little upset about the lack of communication.",NEGATIVE
